trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.7, 'e': 0.22875280780845939}",25,1,-9.596521784776384,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.7, 'e': 0.2190066870930415}",25,0,-31.53437825669765,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
136,False,"{'a': 0.7, 'e': 0.20923866589141926}",25,3,-18.458749170611004,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.7, 'e': 0.19944972099757285}",25,0,25.46385174599393,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.7, 'e': 0.18964083129783446}",25,0,-49.19938434125985,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
139,False,"{'a': 0.7, 'e': 0.17981297767299959}",20,0,-27.4961923777835,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.7, 'e': 0.16996714290024104}",30,3,32.487874192379145,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.16010431155483126}",30,21,4.972038136567851,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.15022546991168584}",20,0,-33.934280847020275,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
143,False,"{'a': 0.7, 'e': 0.14033160584673673}",20,0,-69.99641958448872,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
144,False,"{'a': 0.7, 'e': 0.13042370873814554}",20,12,6.606373956265045,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.12050276936736662}",25,9,-11.75916499557437,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.11056977982006959}",20,0,34.36692405266379,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.7, 'e': 0.10062573338693173}",20,12,15.404252303545153,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.09067162446430968}",20,13,11.899563710465246,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.08070844845480063}",30,16,-23.93969200786154,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.7, 'e': 0.0707372016677029}",25,2,-3.3364430534893788,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.0607588812193859}",25,13,2.0317984758475767,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.05077448493357918}",20,10,-21.48982744455015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.7, 'e': 0.040785011241591035}",20,2,-10.16465219844937,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.7, 'e': 0.03079145908246612}",20,8,21.78847059852596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.020794827803092428}",20,14,11.417534451345562,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.010796117058267392}",20,3,23.534095637991598,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.0007963267107332633}",30,9,-8.473533631079393,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,16,27.64710387059626,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,19,13.708588236560228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,36.773897332751694,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,15,1.0536011654337785,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,15,11.74208575617084,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,6.965164962465883,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,37.98000385288601,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,17,13.369933214352377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,10.089963319476475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,9.503256933413073,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
